Verbe_FR,Verbe_All,Présent,Prétérit,Parfait
apporter,bringen,er bringt,er brachte,er hat gebracht
penser,denken,er denkt,er dachte,er hat gedacht
manger,essen,er iβt,er aβ,er hat gegessen
trouver,finden,er findet,er fand,er hat gefunden
aller,fahren,er fährt,er fuhr,er ist gefahren
donner,geben,er gibt,er gab,er hat gegeben
aller,gehen,er geht,er ging,er ist gegangen
aider,helfen,er hilft,er half,er hat geholfen
connaître,kennen,er kennt,er kannte, er hat gekannt
venir,kommen,er kommt,er kam,er ist gekommen
lire,lesen,er liest,er las,er hat gelesen
prendre,nehmen,er nimmt,er nahm,er hat genommen
courir,rennen,er rennt,er rannte,er ist gerannt
voir,sehen,er sieht,er sah,er hat gesehen
être,sein,er ist,er war ,er ist gewesen
dormir,schlafen,er schläft,er schlief ,er hat geschlafen
fermer/conclure,schliessen,er schliesst,er schloss,er hat geschlossen
écrire,schreiben,er schreibt,er schrieb,er hat geschrieben
parler,sprechen,er spricht,er sprach,er hat gesprochen
être debout,stehen,er steht,er stand,er hat gestanden
mourir,sterben,er stirbt,er starb,er ist gestorben
rencontrer,treffen,er trifft,er traf,er hat getroffen
boire,trinken,er trinkt,er trank,er hat getrunken
devenir,werden,er wird ,er wurde,er ist geworden
comprendre,verstehen,er versteht,er verstand,er hat verstanden
savoir,wissen,er weiβ,er wuβte,er hat gewuβt